post_id,caption,caption_sentiment,caption_sentiment_score,caption_emotion,caption_emotion_score,comments_sentiment,comments_sentiment_score,comments_emotion,comments_emotion_score,owner_id,timestamp,likes,comments_count,hashtags,location_id,media_type,username,shortcode,location,is_private,is_verified,mentions,Category,#Followers,#Followees,#Posts,comment_owner_username,comment_likes,comment_timestamp,caption_length,num_hashtags,has_mention,has_url,follower_adjusted_likes,follower_adjusted_comments,engagement_rate,hashtags_agg,engagement_frequency,influence_score,content_interaction,comment_engagement_ratio,comment_length,has_emoji,category_beauty,category_family,category_fashion,category_fitness,category_food,category_pet,category_travel,user_id_encoded,engagement_binary,engagement_probability
1749733255051826338,he’s happiest when eating and that includes chalk... who knew yellow teeth could look so cute? 😜😍,Positive,0.9818137884140016,joy,0.9636600613594056,Positive,0.9664540886878968,neutral,0.6055305600166321,6532245,1522804479.0,813,1,,,image,brieemuccie,BhITR__DVSi,,False,False,,family,2509.0,1582.0,1139.0,shantelbreanna,0,1523061888.0,97.0,1.0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,True,False,True,False,False,False,False,False,0.0,0.0,0.0
1611924069669062932,"~ SUNSHINE ON MY MIND ~ ☀️
.
.
First beach day for Spring ‘17 and what a cracker! ☀️L O V E  the beach!
.
.
.
Cutest jumpsuit with open back detail from @lilnotre 💫
.
.
Fedora from @kmartaus 💫
.
. : @jazzi_adores
.
#beachvibes #ausbrandreps #brandrepresumes_aus #fortheloveofaustralianhandmade #handmadeau #auskidshandmade #fashionkids #cutekidsclub #styleandwanderlust #littleladyfeaturepage #beautifulbrandreps #spectacularkidz #mumtogs #clickinmums #mumswithcameras #momtog #momswithcameras #uniteinmotherhood",Positive,0.9669077396392822,joy,0.5511824488639832,Positive,0.990773856639862,joy,0.9578925371170044,3027367970,1506376344.0,405,33,"#beachvibes, #ausbrandreps, #brandrepresumes_aus, #fortheloveofaustralianhandmade, #handmadeau, #auskidshandmade, #fashionkids, #cutekidsclub, #styleandwanderlust, #littleladyfeaturepage, #beautifulbrandreps, #spectacularkidz, #mumtogs, #clickinmums, #mumswithcameras, #momtog, #momswithcameras, #uniteinmotherhood",,image,aussiebrandreps,BZetGaphskU,,False,False,"@lilnotre, @kmartaus, @jazzi_adores",family,15602.0,3865.0,2590.0,pirate_hunter_16,1,1506378200.0,513.0,18.0,True,False,0.0,0.0,0.0,"#beachvibes, #ausbrandreps, #brandrepresumes_aus, #fortheloveofaustralianhandmade, #handmadeau, #auskidshandmade, #fashionkids, #cutekidsclub, #styleandwanderlust, #littleladyfeaturepage, #beautifulbrandreps, #spectacularkidz, #mumtogs, #clickinmums, #mumswithcameras, #momtog, #momswithcameras, #uniteinmotherhood",0.0,0.0,0.0,0.0,28,False,False,True,False,False,False,False,False,0.0,0.0,0.0
1792322200620086216,Elastics with a micro braid into double braided buns!! Today is officially the first day of summer break!  Let the fun begin! ❤️❤️❤️ #bhbdancehair #bhbdoublebuns,Positive,0.97804594039917,joy,0.9307825565338136,Positive,0.9896855354309082,joy,0.9828405380249025,1641462461,1527881477.0,1265,15,"#bhbdancehair, #bhbdoublebuns",,image,brownhairedbliss,Bjfm4ubAbPI,,False,False,,beauty,169649.0,376.0,1982.0,braidymom,0,1527881676.0,161.0,2.0,False,False,0.0,0.0,0.0,"#bhbdancehair, #bhbdoublebuns",0.0,0.0,0.0,0.0,10,True,True,False,False,False,False,False,False,0.0,0.0,0.0
1706975413166037695,"The Riley women are living some exciting lives, y'all! Today Ayva got to perform in a music video co-produced bt @spotlightgirlshq  and @alphabetrockers! Even better, she got to do it with her bestie! #365daysofdaughter #Oakland #gogirls #gogirlscamp #daughters",Positive,0.9881960153579712,joy,0.9171674847602844,Positive,0.9796010851860046,joy,0.5409629940986633,42046824,1517707348.0,123,6,"#365daysofdaughter, #Oakland, #gogirls, #gogirlscamp, #daughters",10441538.0,image,brandijeter,BewZRgmFlq_,Spotlight:Girls,False,False,"@spotlightgirlshq, @alphabetrockers!",family,4990.0,3050.0,1517.0,brandijeter,0,1517707401.0,261.0,5.0,True,False,0.0,0.0,0.0,"#365daysofdaughter, #Oakland, #gogirls, #gogirlscamp, #daughters",0.0,0.0,0.0,0.0,48,True,False,True,False,False,False,False,False,0.0,0.0,0.0
1533344681138771248,"@cheerz 
#cheerz
Appena arrivate, ho sistemato subito le mie fotocalamite sul frigo, sono stupende😍
Ottima qualità, tempi di consegna velocissimi e tramite la loro app per smartphone, è facilissimo inserire le proprie foto! 
Ma non ci sono solo calamite, bensì anche poster, fotolibri, cornici, polaroid e tanto altro !! °°
💖✨
Codice sconto di 5€ inserendo ""  BARBN3G "" 💖✨
Visitate il loro sito
https://www.cheerz.com/it/products/magnets °°
°°
°°
°°
°° 📷 #photography #photo  #photos  #photographyeveryday #ig_shutterbugs #photographer #pic #pictures #photoart #ilovephotography #snapshot #art #light #instaphotography #fashionphotography #photographylovers #beautiful #instagood #picoftheday #mobilephotography #weddingphotography #photooftheday #color #all_shots #exposure #composition #focus #capture",Positive,0.7630626559257507,joy,0.4458529055118561,Positive,0.9401825666427612,neutral,0.7002953886985779,1435923039,1497008951.0,1219,3,"#cheerz, #photography, #photo, #photos, #photographyeveryday, #ig_shutterbugs, #photographer, #pic, #pictures, #photoart, #ilovephotography, #snapshot, #art, #light, #instaphotography, #fashionphotography, #photographylovers, #beautiful, #instagood, #picoftheday, #mobilephotography, #weddingphotography, #photooftheday, #color, #all_shots, #exposure, #composition, #focus, #capture",,image,barbara_makeup_2690,BVHiN0NgtUw,,False,False,@cheerz,beauty,25892.0,3562.0,685.0,larabeggi,1,1497014338.0,803.0,29.0,True,True,0.0,0.0,0.0,"#cheerz, #photography, #photo, #photos, #photographyeveryday, #ig_shutterbugs, #photographer, #pic, #pictures, #photoart, #ilovephotography, #snapshot, #art, #light, #instaphotography, #fashionphotography, #photographylovers, #beautiful, #instagood, #picoftheday, #mobilephotography, #weddingphotography, #photooftheday, #color, #all_shots, #exposure, #composition, #focus, #capture",0.0,0.0,0.0,0.0,12,True,True,False,False,False,False,False,False,0.0,0.0,0.0
1683620836392514650,love you honey💖✨ #tubeconch,Positive,0.9795730113983154,joy,0.8352471590042114,Positive,0.9798009395599364,joy,0.3709041178226471,13654823,1514923265.0,1445,13,#tubeconch,,image,_artacha,BddbDsBnzRa,,False,False,,beauty,13939.0,857,918,larissa.morello,2,1514923314,27,1,False,False,0.0,0.0,0.0,#tubeconch,0.0,0.0,0.0,0.0,25.0,True,True,False,False,False,False,False,False,0.0,0.0,0.0
1499007603907283039,French lace flower on myself!! 💜,Positive,0.9399829506874084,anger,0.2592304050922394,Positive,0.9900084733963012,joy,0.9588208794593812,1412272751,1492915653.0,721,13,,,image,braided_to_infinity,BTNi3lCgMhf,,False,False,,beauty,47386.0,395.0,703.0,jehat,0,1492918854.0,32.0,1.0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12,True,True,False,False,False,False,False,False,0.0,0.0,0.0
1806842451203620911,"What ad do you think this could be for?! Totally looks like a fragrance ad for @giorgioarmani Aqua do Gio. .
.
#virginiabeach #makeupbyme #artistrybykelsea #bts #location #beach #faces #photoshoot #photography #trishmcevoy #nars #bobbibrown #becca #lauramercier #makeup #artist #model #modeling #malemodel #model #ad",Positive,0.7126812934875488,joy,0.4810533821582794,Positive,0.9756661653518676,joy,0.8885837197303772,209651140,1529612426.0,61,3,"#virginiabeach, #makeupbyme, #artistrybykelsea, #bts, #location, #beach, #faces, #photoshoot, #photography, #trishmcevoy, #nars, #bobbibrown, #becca, #lauramercier, #makeup, #artist, #model, #modeling, #malemodel, #model, #ad",644108702,image,artistrybykelsea,BkTMaLlFoAv,"Virginia Beach, Virginia",False,False,@giorgioarmani,beauty,1394.0,916.0,260.0,theseanbradyb,1,1529620353.0,316.0,21.0,True,False,0.0,0.0,0.0,"#virginiabeach, #makeupbyme, #artistrybykelsea, #bts, #location, #beach, #faces, #photoshoot, #photography, #trishmcevoy, #nars, #bobbibrown, #becca, #lauramercier, #makeup, #artist, #model, #modeling, #malemodel, #model, #ad",0.0,0.0,0.0,0.0,40,True,True,False,False,False,False,False,False,0.0,0.0,0.0
1958386153166007574,My tiny best friend 💛 I love this girl so much. Every day she gets more & more fun. I’m happy that the tantrum phase is slowly phasing out. But I don’t think her sass will ever leave 😏,Positive,0.9765242338180542,joy,0.9669419527053832,Positive,0.9625325798988342,joy,0.6769151091575623,9451122,1547677843.0,100,3,,218449550.0,image,carlykozz,BstldSQgO0W,"Rexburg, Idaho",False,False,,family,1015.0,513.0,941.0,2mnybbs,1,1547678581.0,184.0,1.0,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,63,True,False,True,False,False,False,False,False,0.0,0.0,0.0
1866884011219780933,"Feeling the fall vibes this morning. 🍂
#endofsummer #fall #fashionblogger #blogger #bloggerstyle #styleinspo #goodmorning #fbblogger #instadailly",Positive,0.8810500502586365,sadness,0.9001989364624023,Positive,0.8581196069717407,joy,0.9672449827194214,9563345,1536769938.0,455,2,"#endofsummer, #fall, #fashionblogger, #blogger, #bloggerstyle, #styleinspo, #goodmorning, #fbblogger, #instadailly",,image,beautywithsonia_,BnogR31nIVF,,False,False,,beauty,10508.0,877.0,2167.0,moolah_the_frenchie_,1,1536771044.0,145.0,9.0,False,False,0.0,0.0,0.0,"#endofsummer, #fall, #fashionblogger, #blogger, #bloggerstyle, #styleinspo, #goodmorning, #fbblogger, #instadailly",0.0,0.0,0.0,0.0,3,True,True,False,False,False,False,False,False,0.0,0.0,0.0
